tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1714.00;costanera_entrada_0;84.07;5.53;1332.00;0.00;av_rio_salida_0;5.10;0.00;tripinfo_rio_cost_L.37 routing_rio_cost_L.37;382.00;rio_cost_L.37;1;1548.75;0.69;0.00;148.46;liviano;;2;98.00
1716.00;fuerzas_armadas_entrada_0;144.11;5.25;1239.00;0.60;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.86 routing_madre_ffaa_L.86;477.00;madre_ffaa_L.86;1;3393.90;1.17;0.00;206.47;liviano;;3;35.00
1716.00;fuerzas_armadas_entrada_1;144.11;3.69;1268.00;0.80;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.88 routing_madre_ffaa_L.88;448.00;madre_ffaa_L.88;1;3393.90;0.88;0.00;99.16;liviano;;1;25.00
1716.00;lecheria_entrada_1;316.19;16.35;1498.00;0.40;costanera_salida_0;5.10;0.00;tripinfo_cost_lech_L.208 routing_cost_lech_L.208;218.00;cost_lech_L.208;1;2236.88;1.03;0.00;61.65;liviano;;1;5.00
1718.00;fuerzas_armadas_entrada_1;144.11;5.93;1215.00;0.00;madre_vieja_salida_0;2.30;0.00;tripinfo_madre_ffaa_M.27 routing_madre_ffaa_M.27;503.00;madre_ffaa_M.27;1;3396.70;1.12;0.00;212.03;moto;;3;60.00
1718.00;lecheria_entrada_1;316.19;17.73;1297.00;1.00;fuerzas_armadas_salida_0;2.30;0.00;tripinfo_ffaa_lech_M.36 routing_ffaa_lech_M.36;421.00;ffaa_lech_M.36;1;2909.19;1.10;0.00;207.55;moto;;3;127.00
1718.00;bissau_entrada_0;41.56;7.01;1562.00;2.00;lecheria_salida_0;5.10;0.00;tripinfo_res_bissau.13 routing_res_bissau.13;156.00;res_bissau.13;1;1255.67;0.90;0.00;50.44;liviano;;2;27.00
1721.00;lecheria_entrada_0;316.19;12.04;1207.00;7.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_lech_C.11 routing_ffaa_lech_C.11;514.00;ffaa_lech_C.11;1;2906.39;0.83;15.00;200.37;carrito;;3;103.00
1721.00;fuerzas_armadas_entrada_1;144.11;5.05;1260.00;0.00;madre_vieja_salida_0;2.30;0.00;tripinfo_madre_ffaa_M.28 routing_madre_ffaa_M.28;461.00;madre_ffaa_M.28;1;3396.70;0.97;0.00;124.73;moto;;1;28.00
1722.00;madre_vieja_entrada_0;821.32;17.66;1228.00;4.00;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.85 routing_ffaa_madre_L.85;494.00;ffaa_madre_L.85;1;3392.49;1.07;0.00;244.76;liviano;;4;136.00
1727.00;costanera_entrada_1;84.07;10.89;1483.00;7.00;lecheria_salida_0;2.30;0.00;tripinfo_lech_cost_M.41 routing_lech_cost_M.41;244.00;lech_cost_M.41;1;2234.51;1.36;0.00;123.61;moto;;2;18.00
1729.00;fuerzas_armadas_entrada_0;144.11;2.74;1109.00;0.20;madre_vieja_salida_0;5.10;0.00;tripinfo_madre_ffaa_L.77 routing_madre_ffaa_L.77;620.00;madre_ffaa_L.77;1;3564.94;0.59;0.00;88.40;liviano;;1;12.00
1729.00;madre_vieja_entrada_0;821.32;17.21;1254.00;1.20;fuerzas_armadas_salida_0;5.10;0.00;tripinfo_ffaa_madre_L.87 routing_ffaa_madre_L.87;475.00;ffaa_madre_L.87;1;3392.49;1.08;0.00;222.76;liviano;;4;111.00
