data_timestep;lane_id;lane_queueing_length;lane_queueing_length_experimental;lane_queueing_time
0.00;puerto_guaica_0;0.00;18.56;0.00
1.00;puerto_guaica_0;0.00;17.18;0.00
2.00;;;;
3.00;puerto_guaica_0;0.00;18.56;0.00
4.00;puerto_guaica_0;0.00;17.19;0.00
5.00;;;;
6.00;;;;
7.00;;;;
8.00;;;;
9.00;;;;
10.00;;;;
11.00;;;;
12.00;;;;
13.00;;;;
14.00;;;;
15.00;;;;
16.00;;;;
17.00;;;;
18.00;;;;
19.00;;;;
20.00;res_salida_0;0.00;5.29;0.00
21.00;;;;
22.00;res_salida_0;0.00;10.82;0.00
23.00;;;;
24.00;;;;
25.00;;;;
26.00;;;;
27.00;semaforo_caminoreal_elejercito_0;0.00;7.04;0.00
28.00;lecheria_haciacaminoreal_0;0.00;3.30;0.00
28.00;res_salida_1;0.00;2.36;0.00
28.00;semaforo_caminoreal_elejercito_0;7.02;7.02;1.00
29.00;lecheria_haciacaminoreal_0;3.22;3.22;1.00
30.00;lecheria_haciacaminoreal_0;3.20;3.20;2.00
31.00;fuerzas_armadas_salida_1;0.00;6.05;0.00
31.00;lecheria_haciacaminoreal_0;9.71;9.71;3.00
31.00;lecheria_haciacaminoreal_1;0.00;6.06;0.00
32.00;fuerzas_armadas_salida_1;6.02;6.02;1.00
32.00;lecheria_haciacaminoreal_0;9.71;9.71;4.00
32.00;lecheria_haciacaminoreal_1;6.00;6.00;1.00
33.00;fuerzas_armadas_salida_1;6.01;6.01;2.00
33.00;lecheria_haciacaminoreal_0;9.71;9.71;5.00
33.00;lecheria_haciacaminoreal_1;6.00;6.00;2.00
34.00;fuerzas_armadas_salida_1;6.00;6.00;3.00
34.00;lecheria_haciacaminoreal_0;9.71;9.71;6.00
34.00;lecheria_haciacaminoreal_1;6.00;6.00;3.00
35.00;lecheria_haciacaminoreal_0;9.70;9.70;7.00
35.00;lecheria_haciacaminoreal_1;6.00;6.00;4.00
36.00;lecheria_haciacaminoreal_0;9.70;9.70;6.00
37.00;;;;
38.00;;;;
39.00;;;;
40.00;;;;
41.00;;;;
42.00;;;;
43.00;;;;
44.00;;;;
45.00;;;;
46.00;;;;
47.00;;;;
48.00;FA_1_1;12.13;12.13;1.00
49.00;FA_1_1;12.11;18.78;2.00
50.00;FA_1_0;0.00;5.19;0.00
50.00;FA_1_1;18.69;18.69;3.00
50.00;avrio_1_0;0.00;5.19;0.00
51.00;FA_1_0;5.12;5.12;1.00
51.00;FA_1_1;18.63;18.63;4.00
51.00;avrio_1_0;5.14;5.14;1.00
52.00;FA_1_0;5.11;5.11;2.00
52.00;FA_1_1;18.61;18.61;5.00
52.00;avrio_1_0;11.65;0.00;1.00
53.00;FA_1_1;18.61;18.61;6.00
53.00;avrio_1_0;0.00;10.75;0.00
54.00;FA_1_1;25.11;18.60;7.00
54.00;avrio_1_0;0.00;9.39;0.00
55.00;:8424094388_1_1;0.00;5.36;0.00
55.00;FA_1_1;25.11;18.60;8.00
56.00;:8424094388_1_1;0.00;5.23;0.00
56.00;FA_1_0;25.10;2.41;3.00
56.00;FA_1_1;18.60;18.60;9.00
57.00;FA_1_0;0.00;2.30;0.00
57.00;FA_1_1;18.60;18.60;10.00
57.00;avrio_1_0;0.00;5.23;0.00
58.00;172682268#2_0;0.00;6.14;0.00
58.00;FA_1_0;2.30;2.30;1.00
58.00;FA_1_1;18.60;18.60;11.00
58.00;avrio_1_0;5.16;5.16;1.00
59.00;172682268#2_0;6.06;6.06;1.00
59.00;FA_1_0;2.30;8.94;2.00
59.00;FA_1_1;18.60;18.60;12.00
60.00;FA_1_0;0.00;15.96;0.00
60.00;FA_1_1;18.60;18.60;13.00
60.00;semaforo_caminoreal_elejercito_0;0.00;7.08;0.00
61.00;FA_1_0;25.16;15.39;1.00
61.00;FA_1_1;18.60;18.60;14.00
61.00;semaforo_caminoreal_elejercito_0;7.02;7.02;1.00
61.00;semaforo_caminoreal_elejercito_1;0.00;7.28;0.00
62.00;FA_1_0;0.00;14.51;0.00
62.00;FA_1_1;18.60;18.60;15.00
62.00;semaforo_caminoreal_elejercito_0;7.01;7.01;2.00
62.00;semaforo_caminoreal_elejercito_1;0.00;7.12;0.00
63.00;FA_1_1;18.60;18.60;16.00
63.00;semaforo_caminoreal_elejercito_0;7.00;7.00;3.00
63.00;semaforo_caminoreal_elejercito_1;0.00;7.00;0.00
64.00;FA_1_1;18.60;18.60;17.00
64.00;semaforo_caminoreal_elejercito_0;7.00;7.00;4.00
64.00;semaforo_caminoreal_elejercito_1;7.00;7.00;1.00
65.00;FA_1_1;25.17;18.60;18.00
65.00;semaforo_caminoreal_elejercito_0;7.00;7.00;5.00
65.00;semaforo_caminoreal_elejercito_1;7.00;7.00;2.00
66.00;FA_1_0;0.00;14.90;0.00
66.00;FA_1_1;25.13;18.60;19.00
66.00;avrio_1_0;0.00;5.49;0.00
66.00;semaforo_caminoreal_elejercito_0;7.00;7.00;6.00
66.00;semaforo_caminoreal_elejercito_1;7.00;7.00;3.00
67.00;FA_1_0;0.00;21.90;0.00
67.00;FA_1_1;25.10;18.60;20.00
67.00;avrio_1_0;0.00;5.20;0.00
67.00;lecheria_haciacaminoreal_1;5.67;5.67;1.00
67.00;semaforo_caminoreal_elejercito_0;7.00;7.00;7.00
67.00;semaforo_caminoreal_elejercito_1;7.00;7.00;4.00
68.00;FA_1_0;0.00;11.87;0.00
68.00;FA_1_1;25.10;18.60;21.00
68.00;avrio_1_0;0.00;5.09;0.00
68.00;lecheria_haciacaminoreal_1;5.67;5.67;2.00
68.00;semaforo_caminoreal_elejercito_0;7.00;7.00;8.00
68.00;semaforo_caminoreal_elejercito_1;7.00;7.00;5.00
69.00;FA_1_0;5.10;18.98;1.00
69.00;FA_1_1;25.10;18.60;22.00
69.00;lecheria_haciacaminoreal_0;0.00;6.31;0.00
69.00;lecheria_haciacaminoreal_1;5.67;5.67;3.00
69.00;semaforo_caminoreal_elejercito_0;7.00;7.00;9.00
69.00;semaforo_caminoreal_elejercito_1;7.00;7.00;6.00
70.00;FA_1_0;11.60;18.16;1.00
70.00;FA_1_1;25.10;18.60;23.00
70.00;lecheria_haciacaminoreal_0;0.00;6.11;0.00
70.00;lecheria_haciacaminoreal_1;12.25;12.25;4.00
70.00;semaforo_caminoreal_elejercito_0;7.00;7.00;10.00
70.00;semaforo_caminoreal_elejercito_1;7.00;7.00;7.00
71.00;FA_1_0;18.13;18.13;1.00
71.00;FA_1_1;25.10;18.60;24.00
71.00;lecheria_haciacaminoreal_0;6.02;6.02;1.00
71.00;lecheria_haciacaminoreal_1;12.19;12.19;5.00
71.00;semaforo_caminoreal_elejercito_0;7.00;7.00;11.00
71.00;semaforo_caminoreal_elejercito_1;7.00;7.00;8.00
71.00;semaforo_caminoreal_elejercito_2;0.00;7.15;0.00
72.00;FA_1_1;25.10;18.60;25.00
72.00;lecheria_haciacaminoreal_0;6.00;6.00;2.00
72.00;lecheria_haciacaminoreal_1;12.18;12.18;6.00
72.00;semaforo_caminoreal_elejercito_0;7.00;7.00;12.00
72.00;semaforo_caminoreal_elejercito_1;7.00;7.00;9.00
72.00;semaforo_caminoreal_elejercito_2;7.07;7.07;1.00
73.00;FA_1_0;25.10;0.00;9.00
73.00;FA_1_1;18.60;18.60;26.00
73.00;lecheria_haciacaminoreal_0;6.00;6.00;3.00
73.00;lecheria_haciacaminoreal_1;12.17;18.86;7.00
73.00;semaforo_caminoreal_elejercito_0;7.00;7.00;13.00
73.00;semaforo_caminoreal_elejercito_1;7.00;7.00;10.00
73.00;semaforo_caminoreal_elejercito_2;7.02;7.02;2.00
74.00;FA_1_0;0.00;23.77;0.00
74.00;FA_1_1;18.60;18.60;27.00
74.00;lecheria_haciacaminoreal_0;6.00;6.00;4.00
74.00;lecheria_haciacaminoreal_1;12.17;18.73;8.00
74.00;semaforo_caminoreal_elejercito_0;7.00;7.00;14.00
74.00;semaforo_caminoreal_elejercito_1;7.00;7.00;11.00
74.00;semaforo_caminoreal_elejercito_2;7.01;7.01;3.00
75.00;FA_1_1;18.60;18.60;28.00
75.00;lecheria_haciacaminoreal_0;6.00;6.00;5.00
75.00;lecheria_haciacaminoreal_1;18.68;18.68;9.00
75.00;lecheria_salida_0;348.44;0.00;1.00
75.00;semaforo_caminoreal_elejercito_0;7.00;7.00;15.00
75.00;semaforo_caminoreal_elejercito_1;7.00;7.00;12.00
75.00;semaforo_caminoreal_elejercito_2;7.00;7.00;4.00
76.00;FA_1_1;18.60;18.60;29.00
76.00;lecheria_haciacaminoreal_0;6.00;6.00;6.00
76.00;lecheria_haciacaminoreal_1;18.67;18.67;10.00
76.00;semaforo_caminoreal_elejercito_0;7.00;7.00;16.00
76.00;semaforo_caminoreal_elejercito_1;7.00;9.78;13.00
76.00;semaforo_caminoreal_elejercito_2;7.00;7.00;5.00
77.00;FA_1_1;18.60;18.60;30.00
77.00;lecheria_haciacaminoreal_0;6.00;6.00;7.00
77.00;lecheria_haciacaminoreal_1;18.67;18.67;11.00
77.00;semaforo_caminoreal_elejercito_0;7.00;13.70;17.00
77.00;semaforo_caminoreal_elejercito_1;9.70;9.70;14.00
77.00;semaforo_caminoreal_elejercito_2;7.00;7.00;6.00
78.00;FA_1_1;18.60;18.60;31.00
78.00;lecheria_haciacaminoreal_0;6.00;6.00;8.00
78.00;lecheria_haciacaminoreal_1;18.67;18.67;12.00
78.00;semaforo_caminoreal_elejercito_0;7.00;13.52;18.00
78.00;semaforo_caminoreal_elejercito_1;9.70;9.70;15.00
78.00;semaforo_caminoreal_elejercito_2;7.00;7.00;7.00
79.00;FA_1_1;25.10;18.60;32.00
79.00;lecheria_haciacaminoreal_0;6.00;6.00;9.00
79.00;lecheria_haciacaminoreal_1;18.67;18.67;13.00
79.00;semaforo_caminoreal_elejercito_0;13.50;13.50;19.00
79.00;semaforo_caminoreal_elejercito_1;9.70;9.70;16.00
79.00;semaforo_caminoreal_elejercito_2;7.00;7.00;8.00
80.00;FA_1_1;25.10;18.60;33.00
80.00;lecheria_haciacaminoreal_0;6.00;12.54;10.00
80.00;lecheria_haciacaminoreal_1;18.67;18.67;14.00
80.00;semaforo_caminoreal_elejercito_0;13.50;13.50;20.00
80.00;semaforo_caminoreal_elejercito_1;9.70;9.70;17.00
80.00;semaforo_caminoreal_elejercito_2;7.00;7.00;9.00
81.00;FA_1_0;25.10;0.00;3.00
81.00;FA_1_1;18.60;18.60;34.00
81.00;lecheria_haciacaminoreal_0;12.51;12.51;11.00
81.00;lecheria_haciacaminoreal_1;18.67;18.67;15.00
81.00;semaforo_caminoreal_elejercito_0;13.50;13.50;21.00
81.00;semaforo_caminoreal_elejercito_1;9.70;9.70;18.00
81.00;semaforo_caminoreal_elejercito_2;7.00;13.52;10.00
82.00;FA_1_0;0.00;24.63;0.00
82.00;FA_1_1;18.60;18.60;35.00
82.00;avrio_1_0;5.12;5.12;1.00
82.00;lecheria_haciacaminoreal_0;12.50;12.50;12.00
82.00;lecheria_haciacaminoreal_1;18.67;18.67;16.00
82.00;semaforo_caminoreal_elejercito_0;13.50;13.50;22.00
82.00;semaforo_caminoreal_elejercito_1;9.70;9.70;19.00
82.00;semaforo_caminoreal_elejercito_2;13.50;13.50;11.00
83.00;FA_1_1;18.60;18.60;36.00
83.00;avrio_1_0;5.11;5.11;2.00
83.00;lecheria_haciacaminoreal_0;12.50;12.50;13.00
83.00;lecheria_haciacaminoreal_1;18.67;25.45;17.00
83.00;semaforo_caminoreal_elejercito_0;13.50;13.50;23.00
83.00;semaforo_caminoreal_elejercito_1;9.70;9.70;20.00
83.00;semaforo_caminoreal_elejercito_2;13.50;13.50;12.00
84.00;FA_1_1;18.60;18.60;37.00
84.00;lecheria_haciacaminoreal_0;12.50;12.50;14.00
84.00;lecheria_haciacaminoreal_1;18.67;25.22;18.00
84.00;semaforo_caminoreal_elejercito_0;13.50;13.50;24.00
84.00;semaforo_caminoreal_elejercito_1;9.70;16.51;21.00
84.00;semaforo_caminoreal_elejercito_2;13.50;13.50;13.00
85.00;FA_1_1;18.60;18.60;38.00
85.00;lecheria_haciacaminoreal_0;12.50;12.50;15.00
85.00;lecheria_haciacaminoreal_1;25.18;25.18;19.00
85.00;semaforo_caminoreal_elejercito_0;13.50;13.50;25.00
85.00;semaforo_caminoreal_elejercito_1;9.70;16.35;22.00
85.00;semaforo_caminoreal_elejercito_2;13.50;13.50;14.00
86.00;FA_1_1;18.60;18.60;39.00
86.00;lecheria_haciacaminoreal_0;12.50;12.50;16.00
86.00;lecheria_haciacaminoreal_1;25.17;25.17;20.00
86.00;semaforo_caminoreal_elejercito_0;13.50;13.50;26.00
86.00;semaforo_caminoreal_elejercito_1;9.70;16.24;23.00
86.00;semaforo_caminoreal_elejercito_2;13.50;13.50;15.00
87.00;FA_1_1;18.60;18.60;40.00
87.00;lecheria_haciacaminoreal_0;25.17;25.17;17.00
87.00;lecheria_haciacaminoreal_1;18.67;18.67;21.00
87.00;semaforo_caminoreal_elejercito_0;13.50;13.50;27.00
87.00;semaforo_caminoreal_elejercito_1;16.21;16.21;24.00
87.00;semaforo_caminoreal_elejercito_2;13.50;13.50;16.00
88.00;FA_1_1;18.60;18.60;41.00
88.00;lecheria_haciacaminoreal_0;12.50;12.50;18.00
88.00;lecheria_haciacaminoreal_1;18.67;18.67;22.00
88.00;semaforo_caminoreal_elejercito_0;13.50;13.50;28.00
88.00;semaforo_caminoreal_elejercito_1;16.21;16.21;25.00
88.00;semaforo_caminoreal_elejercito_2;13.50;13.50;17.00
89.00;FA_1_1;18.60;18.60;42.00
89.00;lecheria_haciacaminoreal_0;12.50;12.50;19.00
89.00;lecheria_haciacaminoreal_1;18.67;26.05;23.00
89.00;semaforo_caminoreal_elejercito_0;13.50;13.50;29.00
89.00;semaforo_caminoreal_elejercito_1;16.20;16.20;26.00
89.00;semaforo_caminoreal_elejercito_2;13.50;13.50;18.00
90.00;FA_1_1;18.60;18.60;43.00
90.00;lecheria_haciacaminoreal_0;12.50;19.13;20.00
90.00;lecheria_haciacaminoreal_1;18.67;25.30;24.00
90.00;semaforo_caminoreal_elejercito_0;13.50;13.50;30.00
90.00;semaforo_caminoreal_elejercito_1;16.20;16.20;27.00
90.00;semaforo_caminoreal_elejercito_2;13.50;13.50;19.00
91.00;FA_1_1;18.60;18.60;42.00
91.00;lecheria_haciacaminoreal_0;19.06;19.06;21.00
91.00;lecheria_haciacaminoreal_1;18.67;25.18;25.00
91.00;semaforo_caminoreal_elejercito_0;13.50;13.50;31.00
91.00;semaforo_caminoreal_elejercito_1;16.20;16.20;28.00
91.00;semaforo_caminoreal_elejercito_2;13.50;13.50;20.00
92.00;:interseccion_avrio_FA_5_1;38.01;0.00;1.00
92.00;FA_1_1;25.12;18.45;1.00
92.00;lecheria_haciacaminoreal_0;19.01;25.68;22.00
92.00;lecheria_haciacaminoreal_1;25.17;25.17;26.00
92.00;semaforo_caminoreal_elejercito_0;13.50;13.50;32.00
92.00;semaforo_caminoreal_elejercito_1;16.20;16.20;29.00
92.00;semaforo_caminoreal_elejercito_2;13.50;13.50;21.00
93.00;:interseccion_avrio_FA_3_0;23.95;0.00;1.00
93.00;:interseccion_avrio_FA_5_1;37.97;0.00;2.00
93.00;FA_1_1;18.37;18.37;1.00
93.00;lecheria_haciacaminoreal_0;19.00;25.58;23.00
93.00;lecheria_haciacaminoreal_1;25.17;25.17;27.00
93.00;semaforo_caminoreal_elejercito_0;13.50;13.50;33.00
93.00;semaforo_caminoreal_elejercito_1;16.20;16.20;30.00
93.00;semaforo_caminoreal_elejercito_2;13.50;20.08;22.00
94.00;:interseccion_avrio_FA_5_1;37.95;0.00;3.00
94.00;FA_1_1;24.89;18.30;2.00
94.00;lecheria_haciacaminoreal_0;25.52;25.52;24.00
94.00;lecheria_haciacaminoreal_1;25.17;25.17;28.00
94.00;semaforo_caminoreal_elejercito_0;13.50;13.50;34.00
94.00;semaforo_caminoreal_elejercito_1;16.20;16.20;31.00
94.00;semaforo_caminoreal_elejercito_2;20.01;20.01;23.00
95.00;:8424094388_1_1;0.00;5.25;0.00
95.00;:interseccion_avrio_FA_5_0;0.00;20.00;0.00
95.00;:interseccion_avrio_FA_5_1;37.90;0.00;4.00
95.00;FA_1_0;24.82;0.00;2.00
95.00;FA_1_1;18.28;18.28;3.00
95.00;lecheria_haciacaminoreal_0;25.51;25.51;25.00
95.00;lecheria_haciacaminoreal_1;25.17;25.17;29.00
95.00;semaforo_caminoreal_elejercito_0;13.50;13.50;35.00
95.00;semaforo_caminoreal_elejercito_1;16.20;16.20;32.00
95.00;semaforo_caminoreal_elejercito_2;20.01;20.01;24.00
96.00;:interseccion_avrio_FA_5_0;19.98;19.98;1.00
96.00;FA_1_1;18.22;18.22;4.00
96.00;lecheria_haciacaminoreal_0;25.50;25.50;26.00
96.00;lecheria_haciacaminoreal_1;25.17;25.17;30.00
96.00;semaforo_caminoreal_elejercito_0;13.50;13.50;36.00
96.00;semaforo_caminoreal_elejercito_1;16.20;16.20;33.00
96.00;semaforo_caminoreal_elejercito_2;20.01;20.01;25.00
97.00;:interseccion_avrio_FA_5_0;19.98;19.98;2.00
97.00;FA_1_1;0.00;18.00;0.00
97.00;lecheria_haciacaminoreal_0;25.50;25.50;27.00
97.00;lecheria_haciacaminoreal_1;25.17;25.17;31.00
97.00;semaforo_caminoreal_elejercito_0;13.50;13.50;37.00
97.00;semaforo_caminoreal_elejercito_1;18.90;18.90;34.00
97.00;semaforo_caminoreal_elejercito_2;20.00;20.00;26.00
98.00;FA_1_1;0.00;24.66;0.00
98.00;lecheria_haciacaminoreal_0;25.50;25.50;28.00
98.00;lecheria_haciacaminoreal_1;25.17;25.17;32.00
98.00;semaforo_caminoreal_elejercito_0;13.50;13.50;38.00
98.00;semaforo_caminoreal_elejercito_1;18.90;18.90;35.00
98.00;semaforo_caminoreal_elejercito_2;20.00;20.00;27.00
99.00;FA_1_1;0.00;24.17;0.00
99.00;lecheria_haciacaminoreal_0;25.50;25.50;29.00
99.00;lecheria_haciacaminoreal_1;25.17;25.17;33.00
99.00;semaforo_caminoreal_elejercito_0;13.50;20.06;39.00
99.00;semaforo_caminoreal_elejercito_1;18.90;18.90;36.00
99.00;semaforo_caminoreal_elejercito_2;20.00;20.00;28.00
100.00;FA_1_0;0.00;23.84;0.00
100.00;FA_1_1;0.00;15.95;0.00
100.00;lecheria_haciacaminoreal_0;25.50;25.50;30.00
100.00;lecheria_haciacaminoreal_1;27.87;27.87;34.00
100.00;semaforo_caminoreal_elejercito_0;20.02;20.02;40.00
100.00;semaforo_caminoreal_elejercito_1;18.90;18.90;37.00
100.00;semaforo_caminoreal_elejercito_2;20.00;20.00;29.00
101.00;FA_1_1;0.00;15.33;0.00
101.00;lecheria_haciacaminoreal_0;25.50;32.07;31.00
101.00;lecheria_haciacaminoreal_1;27.87;27.87;35.00
101.00;semaforo_caminoreal_elejercito_0;20.01;20.01;41.00
101.00;semaforo_caminoreal_elejercito_1;18.90;25.47;38.00
101.00;semaforo_caminoreal_elejercito_2;20.00;20.00;30.00
102.00;lecheria_haciacaminoreal_0;32.01;32.01;22.00
102.00;lecheria_haciacaminoreal_1;27.87;27.87;33.00
102.00;semaforo_caminoreal_elejercito_0;20.00;20.00;42.00
102.00;semaforo_caminoreal_elejercito_1;25.41;25.41;39.00
102.00;semaforo_caminoreal_elejercito_2;20.00;20.00;31.00
103.00;FA_1_1;0.00;12.57;0.00
103.00;lecheria_haciacaminoreal_0;32.01;32.01;13.00
103.00;lecheria_haciacaminoreal_1;27.87;27.87;29.00
103.00;semaforo_caminoreal_elejercito_0;20.00;20.00;43.00
103.00;semaforo_caminoreal_elejercito_1;25.41;25.41;40.00
103.00;semaforo_caminoreal_elejercito_2;20.00;20.00;32.00
104.00;lecheria_haciacaminoreal_0;32.01;32.01;11.00
104.00;lecheria_haciacaminoreal_1;27.87;27.87;13.00
104.00;semaforo_caminoreal_elejercito_0;20.00;20.00;44.00
104.00;semaforo_caminoreal_elejercito_1;25.41;25.41;41.00
104.00;semaforo_caminoreal_elejercito_2;20.00;20.00;33.00
105.00;lecheria_haciacaminoreal_0;32.01;32.01;4.00
105.00;lecheria_haciacaminoreal_1;27.87;34.52;6.00
105.00;semaforo_caminoreal_elejercito_0;20.00;20.00;45.00
105.00;semaforo_caminoreal_elejercito_1;25.41;25.41;42.00
105.00;semaforo_caminoreal_elejercito_2;20.00;20.00;34.00
106.00;lecheria_haciacaminoreal_0;0.00;31.15;0.00
106.00;lecheria_haciacaminoreal_1;0.00;34.38;0.00
106.00;semaforo_caminoreal_elejercito_0;20.00;20.00;46.00
106.00;semaforo_caminoreal_elejercito_1;25.41;25.41;43.00
106.00;semaforo_caminoreal_elejercito_2;20.00;26.52;35.00
107.00;lecheria_haciacaminoreal_1;0.00;34.14;0.00
107.00;semaforo_caminoreal_elejercito_0;20.00;20.00;47.00
107.00;semaforo_caminoreal_elejercito_1;25.41;25.41;44.00
107.00;semaforo_caminoreal_elejercito_2;26.50;26.50;36.00
108.00;lecheria_haciacaminoreal_1;0.00;40.75;0.00
108.00;semaforo_caminoreal_elejercito_0;20.00;20.00;48.00
108.00;semaforo_caminoreal_elejercito_1;25.41;25.41;45.00
108.00;semaforo_caminoreal_elejercito_2;26.50;26.50;37.00
109.00;lecheria_haciacaminoreal_1;0.00;39.80;0.00
109.00;semaforo_caminoreal_elejercito_0;20.00;20.00;49.00
109.00;semaforo_caminoreal_elejercito_1;25.41;25.41;46.00
109.00;semaforo_caminoreal_elejercito_2;26.50;26.50;38.00
110.00;semaforo_caminoreal_elejercito_0;20.00;20.00;50.00
110.00;semaforo_caminoreal_elejercito_1;25.41;25.41;47.00
110.00;semaforo_caminoreal_elejercito_2;26.50;26.50;39.00
111.00;semaforo_caminoreal_elejercito_0;20.00;20.00;33.00
111.00;semaforo_caminoreal_elejercito_1;25.41;25.41;35.00
111.00;semaforo_caminoreal_elejercito_2;26.50;26.50;30.00
112.00;semaforo_caminoreal_elejercito_0;20.00;20.00;13.00
112.00;semaforo_caminoreal_elejercito_1;25.41;25.41;26.00
112.00;semaforo_caminoreal_elejercito_2;26.50;26.50;19.00
113.00;madre_vieja_salida_1;0.00;6.57;0.00
113.00;semaforo_caminoreal_elejercito_0;0.00;18.98;0.00
113.00;semaforo_caminoreal_elejercito_1;25.41;25.41;17.00
113.00;semaforo_caminoreal_elejercito_2;26.50;26.50;7.00
114.00;madre_vieja_salida_1;0.00;6.05;0.00
114.00;semaforo_caminoreal_elejercito_1;25.41;25.41;13.00
114.00;semaforo_caminoreal_elejercito_2;0.00;25.44;0.00
115.00;madre_vieja_salida_1;6.01;6.01;1.00
115.00;semaforo_caminoreal_elejercito_1;0.00;24.68;0.00
116.00;madre_vieja_salida_0;6.01;6.01;2.00
117.00;madre_vieja_salida_0;6.00;6.00;3.00
118.00;madre_vieja_salida_0;6.00;6.00;4.00
119.00;madre_vieja_salida_0;6.00;6.00;5.00
119.00;madre_vieja_salida_1;6.01;6.01;1.00
120.00;madre_vieja_salida_0;6.00;6.00;6.00
120.00;madre_vieja_salida_1;6.00;6.00;2.00
121.00;madre_vieja_salida_0;6.00;6.00;7.00
121.00;madre_vieja_salida_1;6.00;6.00;3.00
122.00;madre_vieja_salida_0;6.00;6.00;8.00
122.00;madre_vieja_salida_1;6.00;6.00;4.00
123.00;madre_vieja_salida_0;6.00;6.00;9.00
123.00;madre_vieja_salida_1;6.00;6.00;5.00
124.00;madre_vieja_salida_0;6.00;6.00;10.00
124.00;madre_vieja_salida_1;6.00;6.00;6.00
125.00;madre_vieja_salida_0;6.00;6.00;11.00
125.00;madre_vieja_salida_1;6.00;6.00;7.00
125.00;semaforo_caminoreal_FA_0;3.21;3.21;1.00
126.00;madre_vieja_salida_0;6.00;6.00;12.00
126.00;madre_vieja_salida_1;6.00;6.00;8.00
126.00;semaforo_caminoreal_FA_0;3.20;3.20;2.00
127.00;madre_vieja_salida_0;6.00;6.00;13.00
127.00;madre_vieja_salida_1;6.00;12.75;9.00
127.00;semaforo_caminoreal_FA_0;3.20;3.20;3.00
128.00;madre_vieja_salida_0;6.00;6.00;14.00
128.00;madre_vieja_salida_1;6.00;15.57;10.00
128.00;semaforo_caminoreal_FA_0;3.20;3.20;4.00
129.00;madre_vieja_salida_0;6.00;6.00;15.00
129.00;madre_vieja_salida_1;12.53;15.31;11.00
129.00;semaforo_caminoreal_FA_0;3.20;3.20;5.00
130.00;madre_vieja_salida_0;6.00;6.00;16.00
130.00;madre_vieja_salida_1;15.23;15.23;12.00
130.00;semaforo_caminoreal_FA_0;3.20;3.20;6.00
131.00;madre_vieja_salida_0;6.00;6.00;17.00
131.00;madre_vieja_salida_1;15.20;15.20;13.00
131.00;semaforo_caminoreal_FA_0;3.20;3.20;7.00
132.00;madre_vieja_salida_1;15.20;15.20;4.00
132.00;semaforo_caminoreal_FA_0;3.20;3.20;8.00
133.00;madre_vieja_salida_1;15.20;15.20;4.00
133.00;semaforo_caminoreal_FA_0;3.20;3.20;9.00
134.00;lecheria_haciacaminoreal_0;0.00;7.65;0.00
134.00;semaforo_caminoreal_FA_0;3.20;3.20;10.00
135.00;lecheria_haciacaminoreal_0;0.00;7.16;0.00
135.00;semaforo_caminoreal_FA_0;3.20;3.20;11.00
136.00;lecheria_haciacaminoreal_0;0.00;6.24;0.00
136.00;lecheria_haciacaminoreal_1;0.00;6.28;0.00
136.00;semaforo_caminoreal_FA_0;3.20;3.20;12.00
137.00;lecheria_haciacaminoreal_0;6.17;6.17;1.00
137.00;lecheria_haciacaminoreal_1;0.00;6.02;0.00
137.00;semaforo_caminoreal_FA_0;3.20;3.20;13.00
138.00;lecheria_haciacaminoreal_0;6.12;13.23;2.00
138.00;lecheria_haciacaminoreal_1;6.01;6.01;1.00
138.00;semaforo_caminoreal_FA_0;3.20;3.20;14.00
139.00;lecheria_haciacaminoreal_0;6.08;12.71;3.00
139.00;lecheria_haciacaminoreal_1;6.00;6.00;2.00
139.00;semaforo_caminoreal_FA_0;3.20;3.20;15.00
139.00;semaforo_caminoreal_FA_1;0.00;6.23;0.00
140.00;lecheria_haciacaminoreal_0;12.65;15.46;4.00
140.00;lecheria_haciacaminoreal_1;6.00;6.00;3.00
140.00;semaforo_caminoreal_FA_0;3.20;3.20;16.00
140.00;semaforo_caminoreal_FA_1;0.00;6.08;0.00
141.00;lecheria_haciacaminoreal_0;15.37;15.37;5.00
141.00;lecheria_haciacaminoreal_1;6.00;6.00;4.00
141.00;semaforo_caminoreal_FA_0;3.20;3.20;17.00
141.00;semaforo_caminoreal_FA_1;6.01;6.01;1.00
141.00;semaforo_caminoreal_elejercito_1;0.00;7.08;0.00
142.00;lecheria_haciacaminoreal_0;15.28;15.28;6.00
142.00;lecheria_haciacaminoreal_1;6.00;12.51;5.00
142.00;semaforo_caminoreal_FA_0;3.20;3.20;18.00
142.00;semaforo_caminoreal_FA_1;6.01;6.01;2.00
142.00;semaforo_caminoreal_elejercito_1;7.01;7.01;1.00
143.00;lecheria_haciacaminoreal_0;15.23;15.23;7.00
143.00;lecheria_haciacaminoreal_1;12.50;19.52;6.00
143.00;semaforo_caminoreal_FA_0;3.20;3.20;19.00
143.00;semaforo_caminoreal_FA_1;6.00;6.00;3.00
143.00;semaforo_caminoreal_elejercito_1;7.00;7.00;2.00
144.00;lecheria_haciacaminoreal_0;15.22;15.22;8.00
144.00;lecheria_haciacaminoreal_1;12.50;19.19;7.00
144.00;semaforo_caminoreal_FA_0;3.20;3.20;20.00
144.00;semaforo_caminoreal_FA_1;6.00;6.00;4.00
144.00;semaforo_caminoreal_elejercito_1;7.00;7.00;3.00
145.00;lecheria_haciacaminoreal_0;15.21;15.21;9.00
