interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;100.00;reporte_densidad_final;0;0;1;-172682268#1;0;0;1;7.76
0.00;100.00;reporte_densidad_final;0;0;1;-172682268#2;0;0;1;2.42
0.00;100.00;reporte_densidad_final;0;0;0;-223358286;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358287#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358287#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358287#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358289;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358291#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358291#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358292#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358292#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358296;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358299#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358299#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358312#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358330#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358330#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358332#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358332#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358332#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358337#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358337#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358337#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358359#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358359#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-223358359#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982650#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982650#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982650#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982650#3;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982651#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982651#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982651#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982654#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982654#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982655;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982656;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982658#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982658#1;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982660#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982661#0;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982661#2;0;0;0;0.00
0.00;100.00;reporte_densidad_final;0;0;0;-335982661#3;0;0;0;0.00
